País,Año,Legislación
Angola,1958,Ilegal
Angola,1959,Ilegal
Angola,1960,Ilegal
Angola,1961,Ilegal
Angola,1962,Ilegal
Angola,1963,Ilegal
Angola,1964,Ilegal
Angola,1965,Ilegal
Angola,1966,Ilegal
Angola,1967,Ilegal
Angola,1968,Ilegal
Angola,1969,Ilegal
Angola,1970,Ilegal
Angola,1971,Ilegal
Angola,1972,Ilegal
Angola,1973,Ilegal
Angola,1974,Ilegal
Angola,1975,Ilegal
Angola,1976,Ilegal
Angola,1977,Ilegal
Angola,1978,Ilegal
Angola,1979,Ilegal
Angola,1980,Ilegal
Angola,1981,Ilegal
Angola,1982,Ilegal
Angola,1983,Ilegal
Angola,1984,Ilegal
Angola,1985,Ilegal
Angola,1986,Ilegal
Angola,1987,Ilegal
Angola,1988,Ilegal
Angola,1989,Ilegal
Angola,1990,Ilegal
Angola,1991,Ilegal
Angola,1992,Ilegal
Angola,1993,Ilegal
Angola,1994,Ilegal
Angola,1995,Ilegal
Angola,1996,Ilegal
Angola,1997,Ilegal
Angola,1998,Ilegal
Angola,1999,Ilegal
Angola,2000,Ilegal
Angola,2001,Ilegal
Angola,2002,Ilegal
Angola,2003,Ilegal
Angola,2004,Ilegal
Angola,2005,Ilegal
Angola,2006,Ilegal
Angola,2007,Ilegal
Angola,2008,Ilegal
Angola,2009,Ilegal
Angola,2010,Ilegal
Angola,2011,Ilegal
Angola,2012,Ilegal
Angola,2013,Ilegal
Angola,2014,Ilegal
Angola,2015,Ilegal
Angola,2016,Ilegal
Angola,2017,Ilegal
Angola,2018,Ilegal
Angola,2019,Legal
Angola,2020,Legal
Angola,2021,Legal
Angola,2022,Legal
Angola,2023,Legal
Angola,2024,Legal
Antigua and Barbuda,2022,Legal
Antigua and Barbuda,2023,Legal
Antigua and Barbuda,2024,Legal
Argentina,1987,Legal
Argentina,1988,Legal
Argentina,1989,Legal
Argentina,1990,Legal
Argentina,1991,Legal
Argentina,1992,Legal
Argentina,1993,Legal
Argentina,1994,Legal
Argentina,1995,Legal
Argentina,1996,Legal
Argentina,1997,Legal
Argentina,1998,Legal
Argentina,1999,Legal
Argentina,2000,Legal
Argentina,2001,Legal
Argentina,2002,Legal
Argentina,2003,Legal
Argentina,2004,Legal
Argentina,2005,Legal
Argentina,2006,Legal
Argentina,2007,Legal
Argentina,2008,Legal
Argentina,2009,Legal
Argentina,2010,Legal
Argentina,2011,Legal
Argentina,2012,Legal
Argentina,2013,Legal
Argentina,2014,Legal
Argentina,2015,Legal
Argentina,2016,Legal
Argentina,2017,Legal
Argentina,2018,Legal
Argentina,2019,Legal
Argentina,2020,Legal
Argentina,2021,Legal
Argentina,2022,Legal
Argentina,2023,Legal
Argentina,2024,Legal
Armenia,2003,Legal
Armenia,2004,Legal
Armenia,2005,Legal
Armenia,2006,Legal
Armenia,2007,Legal
Armenia,2008,Legal
Armenia,2009,Legal
Armenia,2010,Legal
Armenia,2011,Legal
Armenia,2012,Legal
Armenia,2013,Legal
Armenia,2014,Legal
Armenia,2015,Legal
Armenia,2016,Legal
Armenia,2017,Legal
Armenia,2018,Legal
Armenia,2019,Legal
Armenia,2020,Legal
Armenia,2021,Legal
Armenia,2022,Legal
Armenia,2023,Legal
Armenia,2024,Legal
Australia,1994,Ilegal
Australia,1995,Ilegal
Australia,1996,Ilegal
Australia,1997,Legal
Australia,1998,Legal
Australia,1999,Legal
Australia,2000,Legal
Australia,2001,Legal
Australia,2002,Legal
Australia,2003,Legal
Australia,2004,Legal
Australia,2005,Legal
Australia,2006,Legal
Australia,2007,Legal
Australia,2008,Legal
Australia,2009,Legal
Australia,2010,Legal
Australia,2011,Legal
Australia,2012,Legal
Australia,2013,Legal
Australia,2014,Legal
Australia,2015,Legal
Australia,2016,Legal
Australia,2017,Legal
Australia,2018,Legal
Australia,2019,Legal
Australia,2020,Legal
Australia,2021,Legal
Australia,2022,Legal
Australia,2023,Legal
Australia,2024,Legal
Austria,1971,Legal
Austria,1972,Legal
Austria,1973,Legal
Austria,1974,Legal
Austria,1975,Legal
Austria,1976,Legal
Austria,1977,Legal
Austria,1978,Legal
Austria,1979,Legal
Austria,1980,Legal
Austria,1981,Legal
Austria,1982,Legal
Austria,1983,Legal
Austria,1984,Legal
Austria,1985,Legal
Austria,1986,Legal
Austria,1987,Legal
Austria,1988,Legal
Austria,1989,Legal
Austria,1990,Legal
Austria,1991,Legal
Austria,1992,Legal
Austria,1993,Legal
Austria,1994,Legal
Austria,1995,Legal
Austria,1996,Legal
Austria,1997,Legal
Austria,1998,Legal
Austria,1999,Legal
Austria,2000,Legal
Austria,2001,Legal
Austria,2002,Legal
Austria,2003,Legal
Austria,2004,Legal
Austria,2005,Legal
Austria,2006,Legal
Austria,2007,Legal
Austria,2008,Legal
Austria,2009,Legal
Austria,2010,Legal
Austria,2011,Legal
Austria,2012,Legal
Austria,2013,Legal
Austria,2014,Legal
Austria,2015,Legal
Austria,2016,Legal
Austria,2017,Legal
Austria,2018,Legal
Austria,2019,Legal
Austria,2020,Legal
Austria,2021,Legal
Austria,2022,Legal
Austria,2023,Legal
Austria,2024,Legal
Azerbaijan,2000,Legal
Azerbaijan,2001,Legal
Azerbaijan,2002,Legal
Azerbaijan,2003,Legal
Azerbaijan,2004,Legal
Azerbaijan,2005,Legal
Azerbaijan,2006,Legal
Azerbaijan,2007,Legal
Azerbaijan,2008,Legal
Azerbaijan,2009,Legal
Azerbaijan,2010,Legal
Azerbaijan,2011,Legal
Azerbaijan,2012,Legal
Azerbaijan,2013,Legal
Azerbaijan,2014,Legal
Azerbaijan,2015,Legal
Azerbaijan,2016,Legal
Azerbaijan,2017,Legal
Azerbaijan,2018,Legal
Azerbaijan,2019,Legal
Azerbaijan,2020,Legal
Azerbaijan,2021,Legal
Azerbaijan,2022,Legal
Azerbaijan,2023,Legal
Azerbaijan,2024,Legal
Bahamas,1991,Legal
Bahamas,1992,Legal
Bahamas,1993,Legal
Bahamas,1994,Legal
Bahamas,1995,Legal
Bahamas,1996,Legal
Bahamas,1997,Legal
Bahamas,1998,Legal
Bahamas,1999,Legal
Bahamas,2000,Legal
Bahamas,2001,Legal
Bahamas,2002,Legal
Bahamas,2003,Legal
Bahamas,2004,Legal
Bahamas,2005,Legal
Bahamas,2006,Legal
Bahamas,2007,Legal
Bahamas,2008,Legal
Bahamas,2009,Legal
Bahamas,2010,Legal
Bahamas,2011,Legal
Bahamas,2012,Legal
Bahamas,2013,Legal
Bahamas,2014,Legal
Bahamas,2015,Legal
Bahamas,2016,Legal
Bahamas,2017,Legal
Bahamas,2018,Legal
Bahamas,2019,Legal
Bahamas,2020,Legal
Bahamas,2021,Legal
Bahamas,2022,Legal
Bahamas,2023,Legal
Bahamas,2024,Legal
Bahrain,1976,Legal
Bahrain,1977,Legal
Bahrain,1978,Legal
Bahrain,1979,Legal
Bahrain,1980,Legal
Bahrain,1981,Legal
Bahrain,1982,Legal
Bahrain,1983,Legal
Bahrain,1984,Legal
Bahrain,1985,Legal
Bahrain,1986,Legal
Bahrain,1987,Legal
Bahrain,1988,Legal
Bahrain,1989,Legal
Bahrain,1990,Legal
Bahrain,1991,Legal
Bahrain,1992,Legal
Bahrain,1993,Legal
Bahrain,1994,Legal
Bahrain,1995,Legal
Bahrain,1996,Legal
Bahrain,1997,Legal
Bahrain,1998,Legal
Bahrain,1999,Legal
Bahrain,2000,Legal
Bahrain,2001,Legal
Bahrain,2002,Legal
Bahrain,2003,Legal
Bahrain,2004,Legal
Bahrain,2005,Legal
Bahrain,2006,Legal
Bahrain,2007,Legal
Bahrain,2008,Legal
Bahrain,2009,Legal
Bahrain,2010,Legal
Bahrain,2011,Legal
Bahrain,2012,Legal
Bahrain,2013,Legal
Bahrain,2014,Legal
Bahrain,2015,Legal
Bahrain,2016,Legal
Bahrain,2017,Legal
Bahrain,2018,Legal
Bahrain,2019,Legal
Bahrain,2020,Legal
Bahrain,2021,Legal
Bahrain,2022,Legal
Bahrain,2023,Legal
Bahrain,2024,Legal
Bangladesh,1950,Ilegal
Bangladesh,1951,Ilegal
Bangladesh,1952,Ilegal
Bangladesh,1953,Ilegal
Bangladesh,1954,Ilegal
Bangladesh,1955,Ilegal
Bangladesh,1956,Ilegal
Bangladesh,1957,Ilegal
Bangladesh,1958,Ilegal
Bangladesh,1959,Ilegal
Bangladesh,1960,Ilegal
Bangladesh,1961,Ilegal
Bangladesh,1962,Ilegal
Bangladesh,1963,Ilegal
Bangladesh,1964,Ilegal
Bangladesh,1965,Ilegal
Bangladesh,1966,Ilegal
Bangladesh,1967,Ilegal
Bangladesh,1968,Ilegal
Bangladesh,1969,Ilegal
Bangladesh,1970,Ilegal
Bangladesh,1971,Ilegal
Bangladesh,1972,Ilegal
Bangladesh,1973,Ilegal
Bangladesh,1974,Ilegal
Bangladesh,1975,Ilegal
Bangladesh,1976,Ilegal
Bangladesh,1977,Ilegal
Bangladesh,1978,Ilegal
Bangladesh,1979,Ilegal
Bangladesh,1980,Ilegal
Bangladesh,1981,Ilegal
Bangladesh,1982,Ilegal
Bangladesh,1983,Ilegal
Bangladesh,1984,Ilegal
Bangladesh,1985,Ilegal
Bangladesh,1986,Ilegal
Bangladesh,1987,Ilegal
Bangladesh,1988,Ilegal
Bangladesh,1989,Ilegal
Bangladesh,1990,Ilegal
Bangladesh,1991,Ilegal
Bangladesh,1992,Ilegal
Bangladesh,1993,Ilegal
Bangladesh,1994,Ilegal
Bangladesh,1995,Ilegal
Bangladesh,1996,Ilegal
Bangladesh,1997,Ilegal
Bangladesh,1998,Ilegal
Bangladesh,1999,Ilegal
Bangladesh,2000,Ilegal
Bangladesh,2001,Ilegal
Bangladesh,2002,Ilegal
Bangladesh,2003,Ilegal
Bangladesh,2004,Ilegal
Bangladesh,2005,Ilegal
Bangladesh,2006,Ilegal
Bangladesh,2007,Ilegal
Bangladesh,2008,Ilegal
Bangladesh,2009,Ilegal
Bangladesh,2010,Ilegal
Bangladesh,2011,Ilegal
Bangladesh,2012,Ilegal
Bangladesh,2013,Ilegal
Bangladesh,2014,Ilegal
Bangladesh,2015,Ilegal
Bangladesh,2016,Ilegal
Bangladesh,2017,Ilegal
Bangladesh,2018,Ilegal
Bangladesh,2019,Ilegal
Bangladesh,2020,Ilegal
Bangladesh,2021,Ilegal
Bangladesh,2022,Ilegal
Bangladesh,2023,Ilegal
Bangladesh,2024,Ilegal
Barbados,2017,Ilegal
Barbados,2022,Legal
Barbados,2023,Legal
Barbados,2024,Legal
Belarus,1950,Ilegal
Belarus,1951,Ilegal
Belarus,1952,Ilegal
Belarus,1953,Ilegal
Belarus,1954,Ilegal
Belarus,1955,Ilegal
Belarus,1956,Ilegal
Belarus,1957,Ilegal
Belarus,1958,Ilegal
Belarus,1959,Ilegal
Belarus,1960,Ilegal
Belarus,1961,Ilegal
Belarus,1962,Ilegal
Belarus,1963,Ilegal
Belarus,1964,Ilegal
Belarus,1965,Ilegal
Belarus,1966,Ilegal
Belarus,1967,Ilegal
Belarus,1968,Ilegal
Belarus,1969,Ilegal
Belarus,1970,Ilegal
Belarus,1971,Ilegal
Belarus,1972,Ilegal
Belarus,1973,Ilegal
Belarus,1974,Ilegal
Belarus,1975,Ilegal
Belarus,1976,Ilegal
Belarus,1977,Ilegal
Belarus,1978,Ilegal
Belarus,1979,Ilegal
Belarus,1980,Ilegal
Belarus,1981,Ilegal
Belarus,1982,Ilegal
Belarus,1983,Ilegal
Belarus,1984,Ilegal
Belarus,1985,Ilegal
Belarus,1986,Ilegal
Belarus,1987,Ilegal
Belarus,1988,Ilegal
Belarus,1989,Ilegal
Belarus,1990,Ilegal
Belarus,1991,Ilegal
Belarus,1992,Ilegal
Belarus,1993,Ilegal
Belarus,1994,Legal
Belarus,1995,Legal
Belarus,1996,Legal
Belarus,1997,Legal
Belarus,1998,Legal
Belarus,1999,Legal
Belarus,2000,Legal
Belarus,2001,Legal
Belarus,2002,Legal
Belarus,2003,Legal
Belarus,2004,Legal
Belarus,2005,Legal
Belarus,2006,Legal
Belarus,2007,Legal
Belarus,2008,Legal
Belarus,2009,Legal
Belarus,2010,Legal
Belarus,2011,Legal
Belarus,2012,Legal
Belarus,2013,Legal
Belarus,2014,Legal
Belarus,2015,Legal
Belarus,2016,Legal
Belarus,2017,Legal
Belarus,2018,Legal
Belarus,2019,Legal
Belarus,2020,Legal
Belarus,2021,Legal
Belarus,2022,Legal
Belarus,2023,Legal
Belarus,2024,Legal
Belgium,1950,Legal
Belgium,1951,Legal
Belgium,1952,Legal
Belgium,1953,Legal
Belgium,1954,Legal
Belgium,1955,Legal
Belgium,1956,Legal
Belgium,1957,Legal
Belgium,1958,Legal
Belgium,1959,Legal
Belgium,1960,Legal
Belgium,1961,Legal
Belgium,1962,Legal
Belgium,1963,Legal
Belgium,1964,Legal
Belgium,1965,Legal
Belgium,1966,Legal
Belgium,1967,Legal
Belgium,1968,Legal
Belgium,1969,Legal
Belgium,1970,Legal
Belgium,1971,Legal
Belgium,1972,Legal
Belgium,1973,Legal
Belgium,1974,Legal
Belgium,1975,Legal
Belgium,1976,Legal
Belgium,1977,Legal
Belgium,1978,Legal
Belgium,1979,Legal
Belgium,1980,Legal
Belgium,1981,Legal
Belgium,1982,Legal
Belgium,1983,Legal
Belgium,1984,Legal
Belgium,1985,Legal
Belgium,1986,Legal
Belgium,1987,Legal
Belgium,1988,Legal
Belgium,1989,Legal
Belgium,1990,Legal
Belgium,1991,Legal
Belgium,1992,Legal
Belgium,1993,Legal
Belgium,1994,Legal
Belgium,1995,Legal
Belgium,1996,Legal
Belgium,1997,Legal
Belgium,1998,Legal
Belgium,1999,Legal
Belgium,2000,Legal
Belgium,2001,Legal
Belgium,2002,Legal
Belgium,2003,Legal
Belgium,2004,Legal
Belgium,2005,Legal
Belgium,2006,Legal
Belgium,2007,Legal
Belgium,2008,Legal
Belgium,2009,Legal
Belgium,2010,Legal
Belgium,2011,Legal
Belgium,2012,Legal
Belgium,2013,Legal
Belgium,2014,Legal
Belgium,2015,Legal
Belgium,2016,Legal
Belgium,2017,Legal
Belgium,2018,Legal
Belgium,2019,Legal
Belgium,2020,Legal
Belgium,2021,Legal
Belgium,2022,Legal
Belgium,2023,Legal
Belgium,2024,Legal
Belize,2003,Ilegal
Belize,2004,Ilegal
Belize,2005,Ilegal
Belize,2006,Ilegal
Belize,2007,Ilegal
Belize,2008,Ilegal
Belize,2009,Ilegal
Belize,2010,Ilegal
Belize,2011,Ilegal
Belize,2012,Ilegal
Belize,2013,Ilegal
Belize,2014,Ilegal
Belize,2015,Ilegal
Belize,2016,Legal
Belize,2017,Legal
Belize,2018,Legal
Belize,2019,Legal
Belize,2020,Legal
Belize,2021,Legal
Belize,2022,Legal
Belize,2023,Legal
Belize,2024,Legal
Benin,2024,Legal
Bhutan,2004,Ilegal
Bhutan,2005,Ilegal
Bhutan,2006,Ilegal
Bhutan,2007,Ilegal
Bhutan,2008,Ilegal
Bhutan,2009,Ilegal
Bhutan,2010,Ilegal
Bhutan,2011,Ilegal
Bhutan,2012,Ilegal
Bhutan,2013,Ilegal
Bhutan,2014,Ilegal
Bhutan,2015,Ilegal
Bhutan,2016,Ilegal
Bhutan,2017,Ilegal
Bhutan,2018,Ilegal
Bhutan,2019,Ilegal
Bhutan,2020,Ilegal
Bhutan,2021,Legal
Bhutan,2022,Legal
Bhutan,2023,Legal
Bhutan,2024,Legal
Bolivia,1950,Legal
Bolivia,1951,Legal
Bolivia,1952,Legal
Bolivia,1953,Legal
Bolivia,1954,Legal
Bolivia,1955,Legal
Bolivia,1956,Legal
Bolivia,1957,Legal
Bolivia,1958,Legal
Bolivia,1959,Legal
Bolivia,1960,Legal
Bolivia,1961,Legal
Bolivia,1962,Legal
Bolivia,1963,Legal
Bolivia,1964,Legal
Bolivia,1965,Legal
Bolivia,1966,Legal
Bolivia,1967,Legal
Bolivia,1968,Legal
Bolivia,1969,Legal
Bolivia,1970,Legal
Bolivia,1971,Legal
Bolivia,1972,Legal
Bolivia,1973,Legal
Bolivia,1974,Legal
Bolivia,1975,Legal
Bolivia,1976,Legal
Bolivia,1977,Legal
Bolivia,1978,Legal
Bolivia,1979,Legal
Bolivia,1980,Legal
Bolivia,1981,Legal
Bolivia,1982,Legal
Bolivia,1983,Legal
Bolivia,1984,Legal
Bolivia,1985,Legal
Bolivia,1986,Legal
Bolivia,1987,Legal
Bolivia,1988,Legal
Bolivia,1989,Legal
Bolivia,1990,Legal
Bolivia,1991,Legal
Bolivia,1992,Legal
Bolivia,1993,Legal
Bolivia,1994,Legal
Bolivia,1995,Legal
Bolivia,1996,Legal
Bolivia,1997,Legal
Bolivia,1998,Legal
Bolivia,1999,Legal
Bolivia,2000,Legal
Bolivia,2001,Legal
Bolivia,2002,Legal
Bolivia,2003,Legal
Bolivia,2004,Legal
Bolivia,2005,Legal
Bolivia,2006,Legal
Bolivia,2007,Legal
Bolivia,2008,Legal
Bolivia,2009,Legal
Bolivia,2010,Legal
Bolivia,2011,Legal
Bolivia,2012,Legal
Bolivia,2013,Legal
Bolivia,2014,Legal
Bolivia,2015,Legal
Bolivia,2016,Legal
Bolivia,2017,Legal
Bolivia,2018,Legal
Bolivia,2019,Legal
Bolivia,2020,Legal
Bolivia,2021,Legal
Bolivia,2022,Legal
Bolivia,2023,Legal
Bolivia,2024,Legal
Bosnia and Herzegovina,1950,Ilegal
Bosnia and Herzegovina,1951,Ilegal
Bosnia and Herzegovina,1952,Ilegal
Bosnia and Herzegovina,1953,Ilegal
Bosnia and Herzegovina,1954,Ilegal
Bosnia and Herzegovina,1955,Ilegal
Bosnia and Herzegovina,1956,Ilegal
Bosnia and Herzegovina,1957,Ilegal
Bosnia and Herzegovina,1958,Ilegal
Bosnia and Herzegovina,1959,Ilegal
Bosnia and Herzegovina,1960,Ilegal
Bosnia and Herzegovina,1961,Ilegal
Bosnia and Herzegovina,1962,Ilegal
Bosnia and Herzegovina,1963,Ilegal
Bosnia and Herzegovina,1964,Ilegal
Bosnia and Herzegovina,1965,Ilegal
Bosnia and Herzegovina,1966,Ilegal
Bosnia and Herzegovina,1967,Ilegal
Bosnia and Herzegovina,1968,Ilegal
Bosnia and Herzegovina,1969,Ilegal
Bosnia and Herzegovina,1970,Ilegal
Bosnia and Herzegovina,1971,Ilegal
Bosnia and Herzegovina,1972,Ilegal
Bosnia and Herzegovina,1973,Ilegal
Bosnia and Herzegovina,1974,Ilegal
Bosnia and Herzegovina,1975,Ilegal
Bosnia and Herzegovina,1976,Ilegal
Bosnia and Herzegovina,1977,Ilegal
Bosnia and Herzegovina,1978,Ilegal
Bosnia and Herzegovina,1979,Ilegal
Bosnia and Herzegovina,1980,Ilegal
Bosnia and Herzegovina,1981,Ilegal
Bosnia and Herzegovina,1982,Ilegal
Bosnia and Herzegovina,1983,Ilegal
Bosnia and Herzegovina,1984,Ilegal
Bosnia and Herzegovina,1985,Ilegal
Bosnia and Herzegovina,1986,Ilegal
Bosnia and Herzegovina,1987,Ilegal
Bosnia and Herzegovina,1988,Ilegal
Bosnia and Herzegovina,1989,Ilegal
Bosnia and Herzegovina,1990,Ilegal
Bosnia and Herzegovina,1991,Legal
Bosnia and Herzegovina,1992,Legal
Bosnia and Herzegovina,1993,Legal
Bosnia and Herzegovina,1994,Legal
Bosnia and Herzegovina,1995,Legal
Bosnia and Herzegovina,1996,Legal
Bosnia and Herzegovina,1997,Legal
Bosnia and Herzegovina,1998,Legal
Bosnia and Herzegovina,1999,Legal
Bosnia and Herzegovina,2000,Legal
Bosnia and Herzegovina,2001,Legal
Bosnia and Herzegovina,2002,Legal
Bosnia and Herzegovina,2003,Legal
Bosnia and Herzegovina,2004,Legal
Bosnia and Herzegovina,2005,Legal
Bosnia and Herzegovina,2006,Legal
Bosnia and Herzegovina,2007,Legal
Bosnia and Herzegovina,2008,Legal
Bosnia and Herzegovina,2009,Legal
Bosnia and Herzegovina,2010,Legal
Bosnia and Herzegovina,2011,Legal
Bosnia and Herzegovina,2012,Legal
Bosnia and Herzegovina,2013,Legal
Bosnia and Herzegovina,2014,Legal
Bosnia and Herzegovina,2015,Legal
Bosnia and Herzegovina,2016,Legal
Bosnia and Herzegovina,2017,Legal
Bosnia and Herzegovina,2018,Legal
Bosnia and Herzegovina,2019,Legal
Bosnia and Herzegovina,2020,Legal
Bosnia and Herzegovina,2021,Legal
Bosnia and Herzegovina,2022,Legal
Bosnia and Herzegovina,2023,Legal
Bosnia and Herzegovina,2024,Legal
Botswana,1964,Ilegal
Botswana,1965,Ilegal
Botswana,1966,Ilegal
Botswana,1967,Ilegal
Botswana,1968,Ilegal
Botswana,1969,Ilegal
Botswana,1970,Ilegal
Botswana,1971,Ilegal
Botswana,1972,Ilegal
Botswana,1973,Ilegal
Botswana,1974,Ilegal
Botswana,1975,Ilegal
Botswana,1976,Ilegal
Botswana,1977,Ilegal
Botswana,1978,Ilegal
Botswana,1979,Ilegal
Botswana,1980,Ilegal
Botswana,1981,Ilegal
Botswana,1982,Ilegal
Botswana,1983,Ilegal
Botswana,1984,Ilegal
Botswana,1985,Ilegal
Botswana,1986,Ilegal
Botswana,1987,Ilegal
Botswana,1988,Ilegal
Botswana,1989,Ilegal
Botswana,1990,Ilegal
Botswana,1991,Ilegal
Botswana,1992,Ilegal
Botswana,1993,Ilegal
Botswana,1994,Ilegal
Botswana,1995,Ilegal
Botswana,1996,Ilegal
Botswana,1997,Ilegal
Botswana,1998,Ilegal
